Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-1_run-1287_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-2_run-1288_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-3_run-1289_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-4_run-1290_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-5_run-1291_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-6_run-1292_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-7_run-1293_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\2eme-generation-8_run-1294_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-1_run-1295_60 SPD_12-10-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-2_run-1296_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-3_run-1297_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-4_run-1298_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-5_run-1299_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-6_run-1300_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-7_run-1301_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Projet Siric-decembre 2024\3eme-generation-8_run-1302_60 SPD_12-11-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Analyse Marlene SIRIC 260324\Sample-7-C-39-ctrl_run-1687_60 SPD_3-25-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Analyse Marlene SIRIC 260324\Sample-8-C-39-IR_run-1688_60 SPD_3-25-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Analyse Marlene SIRIC 260324\Sample-9-C-35-CTRL_run-1689_60 SPD_3-25-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Analyse Marlene SIRIC 260324\Sample-10-C-35-IR_run-1690_60 SPD_3-25-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Analyse Marlene SIRIC 260324\Sample-11-C-69-CTRL_run-1691_60 SPD_3-25-2024.d	Y:\timsTOF-Flex\Data2024\antonella\Analyse Marlene SIRIC 260324\Sample-12-C-39-IR_run-1692_60 SPD_3-25-2024.d
A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B								5187.49								8208.41			9936.62	9322.64		
A1Z1Q3;A1Z1Q3-1	A1Z1Q3;A1Z1Q3-1	MACD2_HUMAN	MACROD2	ADP-ribose glycohydrolase MACROD2								4103							3950.82	4405			4866.18	7159.11		
A2RRP1	A2RRP1;A2RRP1-2	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex	4190	3336.57	4085.35	3651.15	4050.68	5545.71	2367.01	2754.31	4385.36	2450.34	5063.79	3309.72	4363.65	3392.42	2452.42	2682.85	4320.98	6229.07	3601.37	3461.44	5256.62	6173.9
A2RTX5	A2RTX5;A2RTX5-2	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic	3449.43	4866.6	3212.1	3830.55	4049.6	6193.12		2423.31	3633.19	4519.91	2693.13	4518.48	3909.74	6314.47		2097.43	3067.18	3532.41	4808.3	3430.47	5341.27	2407.56
A2RU67	A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B				3115.05	2916.48	4949.93											5110.27	4265.67	1161.51		2516.43	
A2RUC4	A2RUC4	TYW5_HUMAN	TYW5	tRNA wybutosine-synthesizing protein 5	4064.9	5875.67	5305.38	7083.86	4849.9	4944.01		880.77	4569.37	4642.99	4093.92	5737.05	3826.59	4701.94			2698.13	2639.89			4246.56	3829.98
A3KMH1;A3KMH1-3	A3KMH1;A3KMH1-2;A3KMH1-3	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8	10132.3	12732.6	11417	10028	12472.7	9960.76	3870.58	4559.65	14757	12968.4	12718.6	11648.1	14247.1	12272.4	11531.2	5149.99	12819.1	14939.7	4312.51	5407.64	13599.9	16935.8
A3KN83;A3KN83-2;A3KN83-3	A3KN83;A3KN83-2;A3KN83-3	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1	6174.4	5296.63	6590.36	6184.34	7769.12	7864.73	5650.01	4180.6	6965.07	6799.05	8782.99	7664.6	9295.94	9773.61	5871.91	5600.09	6237.79	7357.16	4351.91	5650.43	5970.74	7291.22
A4D0S4	A4D0S4	LAMB4_HUMAN	LAMB4	Laminin subunit beta-4	381813	592077	113629	520315	85018.7	518509	1.32951e+06	188912	108593	376165	109831	64600.4	149020	18304.3	1.18488e+06	28220.4	77822.2	123878	431884	304931	91490.4	79382.8
A4D1E9;A4D1E9-2	A4D1E9;A4D1E9-2	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10																415.823		202.989	230.38	440.983		
A4D1P6;A4D1P6-2	A4D1P6;A4D1P6-2;A4D1P6-3	WDR91_HUMAN	WDR91	WD repeat-containing protein 91	3168.12	3198.51	4661.22	2904.15	4396.85	6810.26	3798.13	2745.74	4032.03	3345.76	4689.91	3285.76	5769.56	5310.2	4574.26	3875.1	2520.16	4386.84	3586.48	5527.22	5563.26	5884.44
A5D8V6	A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C								1572.76							4392.88	4416.31			3659.69	3237.56		
A5PLL7;A5PLL7-2	A5PLL7;A5PLL7-2	PDES1_HUMAN	PEDS1	Plasmanylethanolamine desaturase	1840.52	3994.18	1605.05	1923.08	2316.11	1740.85	3483.91	4250.8	3034.74	3014.16	2980.06	2460.71	2879.06	2809.09	4810.93	6870.47	2401.19	4072.82	6558.76	12167.4	3491.02	3000.92
A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5	A5PLN9;A5PLN9-2;A5PLN9-4;A5PLN9-5;A5PLN9-7	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13	5472.32	6202.03	5663.8	6413.23	5771.59	5523.66			6732.8	7340.09		6516.24	5953.69									6738.91
A5YKK6;A5YKK6-2	A5YKK6;A5YKK6-2;A5YKK6-3	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1	28761.9	27791.1	28480.5	30823.7	30759.6	32262.4	31625.7	28612.3	25687.1	28133.9	27967.3	30635.1	28856	33014.5	26252.8	27996.2	30758.5	32967.9	31058.1	33137.7	30503	30029.5
A6NCW0;A8MUK1;C9J2P7;C9JJH3;C9JLJ4;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6;Q0WX57;Q7RTZ2	Q0WX57;A6NCW0;A8MUK1;Q7RTZ2;C9J2P7;C9JJH3;C9JLJ4;C9JPN9;C9JVI0;D6R901;D6R9N7;D6RA61;D6RBQ6;D6RCP7;D6RJB6	U17L1_HUMAN;U17L3_HUMAN;U17L5_HUMAN;U17LA_HUMAN;U17LB_HUMAN;U17LD_HUMAN;U17LF_HUMAN;U17LH_HUMAN;U17LI_HUMAN;U17LJ_HUMAN;U17LK_HUMAN;U17LL_HUMAN;U17LM_HUMAN;U17LO_HUMAN;UL17C_HUMAN	USP17L1;USP17L10;USP17L11;USP17L12;USP17L13;USP17L15;USP17L17;USP17L18;USP17L19;USP17L20;USP17L21;USP17L22;USP17L24;USP17L3;USP17L5	Ubiquitin carboxyl-terminal hydrolase 17-like protein 3	13637.6	16245.4			12211	13897.7		51542.8								67189.8	12836.3	12821.5	130945	82590.1	11821.7	14264.8
A6NDB9	A6NDB9	PALM3_HUMAN	PALM3	Paralemmin-3								2492.55								3796.76			5235.07	3550.75		
A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase	201756	208222	169127	156565	139915	163977	10835.3	9700.47	127062	212495	196705	225496	113989	159256	8401.62	9977.5	268417	127081	7702.06	7247.89	296425	123991
A6NDU8	A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1							1335.78	1091.02							1175.72	1497.82			1433.95	1424.44		
A6NFC5-2	A6NFC5-2	TM235_HUMAN	TMEM235	Isoform 2 of Transmembrane protein 235			889.07	1044.15		789.19	2964.18	522.237	1620.91	1371.25	1927.81		2090.01	1257.32	8766.19	784.62					1226.52	
A6NFI3	A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316								2818.41								2233.64			2300.09	2370.53		
A6NGN9	A6NGN9	IGLO5_HUMAN	IGLON5	IgLON family member 5							5643.6	2458.28								4388.55			3968.74	3982.74		
A6NHL2;A6NHL2-2	A6NHL2;A6NHL2-2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3	6298.52	5926.9	5329.46	7933.66	5522.75	7408.47	39070.3	23801.4	5624.8	6070.58	6805.34	6936.4	7252.18	7379.57	12909.1	14201.5	7269.07	8707.91	16005.1	14963.1	6828.4	8411.78
A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1							78702.2								77024.8		171944	228629				
A6NHR9	A6NHR9;A6NHR9-2	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	6254.05	5598.87	6139.57	1804.7	7236.33	6599.42	6145.41	6420.76	6304.26	6437.78	5882.18	5147.85	5891.72	7574.47	5942.38	6241.93	7306.56	6359.12	6794.64	7025.53	5745.12	6929.02
A6NIH7	A6NIH7;Q13432;Q13432-2	U119B_HUMAN	UNC119B	Protein unc-119 homolog B	11562.5	10493.3	17480.3	9166.81	8146.7	10669	17335.5	13229.3	10686.3	13162.1	16028.4	14859.2	10715.9	10581.6	23077.9	16585.4	12346.8	12089.4	14590.3	14048.4	12775.3	14806.3
A6NIZ1	P61224;A6NIZ1;P61224-3;P61224-4	RP1BL_HUMAN	RAP1BL	Ras-related protein Rap-1b-like protein	24809.8	25077.2	25629.1	17208	21659.8	11866.4		7592.35	22380.3	19621.7	16638.2	22071.3	16835.4	18563.3		7554.65	15087.8	12211.3	9639.87	8918.6	17365.9	16207.8
A6NKF1	A6NKF1;A6NKF1-2	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1							3179.32	3942.28							7067.14	3371.78			1300.6	2836		
A7E2V4;A7E2V4-3;A7E2V4-4;A7E2V4-5	A7E2V4;A7E2V4-2;A7E2V4-3;A7E2V4-4;A7E2V4-5	ZSWM8_HUMAN	ZSWIM8	Zinc finger SWIM domain-containing protein 8	2711.07	2653.69	3585.13	3504.68	3957.72	2953.23	3143.91	3095.62	3769.57	4278.14	5163.44	4412.85	5857.63	3540.31	2517.06	2779.31	3793.97	6355.93	1908.62	4923.43	3622.6	6341.88
A7KAX9	A7KAX9	RHG32_HUMAN	ARHGAP32	Rho GTPase-activating protein 32	10006.9	11967.9		12515.1		11488.3						2613.08	1937.61						5300.58	2807.62		
A8CG34;A8CG34-2;Q96HA1;Q96HA1-2;Q96HA1-3	A8CG34;Q96HA1;Q96HA1-2;Q96HA1-3;A8CG34-2	P121A_HUMAN;P121C_HUMAN	POM121;POM121C	Nuclear envelope pore membrane protein POM 121C	1131.7	623.002	848.429	969.518	856.44	1445.66		950.061						1142.09		1711.29	1417.54	1485.75	1692.71	1782.77	1993.29	2204.81
A8K0Z3;C4AMC7;Q6VEQ5;Q9NQA3	A8K0Z3;C4AMC7;Q6VEQ5;Q9NQA3	WASH1_HUMAN;WASH2_HUMAN;WASH3_HUMAN;WASH6_HUMAN	WASH2P;WASH3P;WASH6P;WASHC1	WASH complex subunit 1								1006.61								1033.15			1005.54	838.558		
A8MVW0	A8MVW0	F1712_HUMAN	FAM171A2	Protein FAM171A2		3917.74					2358.92	3911.82	1953.16						4562.51	3605.28			3689.05	4584.94		
A8MW92;A8MW92-2;A8MW92-4	A8MW92;A8MW92-2;A8MW92-4	P20L1_HUMAN	PHF20L1	PHD finger protein 20-like protein 1																			1963.55	953.975		
A8MWD9;P62308	P62308;A8MWD9	RUXGL_HUMAN;RUXG_HUMAN	SNRPG;SNRPGP15	Putative small nuclear ribonucleoprotein G-like protein 15	6114.84	6907.38	5650.79	6647.92	4870.38	7828.28	4051.08	2306.84	7654.52	7368.12	6012.8	6572.48	6620.64	6306.17	12697.7	7398.81	1957.86		3552.73	3137	3735.42	
A8MXV4	A8MXV4	NUD19_HUMAN	NUDT19	Acyl-coenzyme A diphosphatase NUDT19	1662.51	2248.57	1215.86	2009.78	887.133	2282.91	6367.53	4893.99	1625.83	1747.6	2078.67	2539.82	1216.81	1431.41	5975.29	7983.72	1692.93	1486.8	8848.96	10872.2	2411.94	2480.83
A9QM74	A9QM74	IMA8_HUMAN	KPNA7	Importin subunit alpha-8	1829.04						52973.7	57679.8		3370.6	3494.36			3109.5	37610.7	34172.1						
A9UHW6;A9UHW6-2;A9UHW6-3	A9UHW6;A9UHW6-2;A9UHW6-3	MI4GD_HUMAN	MIF4GD	MIF4G domain-containing protein	1676.21	1024.23	1735.86			1394.02		558.164	756.597	1505.16	1756.86	945.327		1309.54		1478.42		1954.75		762.748	1528.37	2129.31
B5ME19;Q99613	Q99613;B5ME19;Q99613-2	EIF3C_HUMAN;EIFCL_HUMAN	EIF3C;EIF3CL	Eukaryotic translation initiation factor 3 subunit C-like protein	99028.7	97490.1	97868.7	102666	93574.3	99070.4	68260.9	88477.5	103198	101323	101317	106103	86224.6	103708	67919.9	84121.4	109180	95295.3	80780.2	80752.2	108551	106209
B7ZAQ6;B7ZAQ6-2;B7ZAQ6-3;P0CG08	B7ZAQ6;P0CG08;B7ZAQ6-2;B7ZAQ6-3	GPHRA_HUMAN;GPHRB_HUMAN	GPR89A;GPR89B	Golgi pH regulator A	3870.84	4071.95	3464.83	5133.55	5055.43	4781.47	6540.81	4295.29	4164.82	3395.92	4341.33	3755.44	3985.06	4958.19	5369.06	5609.46	4427.86	5606.77	7144.76	8961.88	5206.62	4315.81
B9A064;P0CF74;P0CG04;P0DOY2;P0DOY3	P0CG04;P0DOY2;P0DOY3;P0CF74;B9A064;P0DOX8	IGLC1_HUMAN;IGLC2_HUMAN;IGLC3_HUMAN;IGLC6_HUMAN;IGLL5_HUMAN	IGLC1;IGLC2;IGLC3;IGLC6;IGLL5	Immunoglobulin lambda-like polypeptide 5	478.106	1178.98	913.357	1058.05	1022.75			670.638		1059.85	1086.82	974.933	892.989	822.569	3472.21	695.212						
C9JLW8	C9JLW8	MCRI1_HUMAN	MCRIP1	Mapk-regulated corepressor-interacting protein 1	2834.51	4643.66	2684.61	3105.04	2966.35	3247.75			2832.4	3986.23	2967.42	2314.98	3133.37	1758.65	6783.54	4161.4	1341.09	2200.06	3028.37	1911.41	2179.04	2567.36
C9JRZ8;C9JRZ8-2	C9JRZ8;C9JRZ8-2	AK1BF_HUMAN	AKR1B15	Aldo-keto reductase family 1 member B15	6277.54	5816.52	9460.17	8033.56	14138.6	12180.7			8435.91	7366.76	10487.1	10919.4	12023.5	12464.5			5361.14	7195.2			5636.08	5772.95
E9PAV3;E9PAV3-2;Q13765	Q13765;E9PAV3;E9PAV3-2	NACAM_HUMAN;NACA_HUMAN	NACA	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	39276.6	27598.4	34916.2	35976.4	36750.2	30161.5	18612.6	26624.7	40867.5	40917.9	42025	31874.4	48641.6	30321.8	20416	33995.4	21801.4	36320.7	25477.7	23304.8	27776	34543.9
E9PQ53;O95298	O95298;E9PQ53	NDUC2_HUMAN;NDUCR_HUMAN	NDUFC2;NDUFC2-KCTD14	NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2								8964.9								8129.08			11513.2	10657.2		
E9PRG8	E9PRG8	CK098_HUMAN	C11orf98	Uncharacterized protein C11orf98							9711.77	18552.8							15384.6	21231.8			13545.3	15277.6		
F2Z333	F2Z333	FND10_HUMAN	FNDC10	Fibronectin type III domain-containing protein 10							4993.53	2329.94								1671.09						
L0R6Q1	L0R6Q1	S35U4_HUMAN	SLC35A4	SLC35A4 upstream open reading frame protein							31151.3	24606.3							17862.7	22478.4			19326.2	30646.3		
L0R8F8	L0R8F8	MIDUO_HUMAN	MIEF1	Mitochondrial ribosome and complex I assembly factor AltMIEF1	1019.72	1499.08	1563.74	2415.19	2572.37	1662.54	6133.72	6889.39	2313.53	2635.75	1232.9	1904.73	1151.16	2687.99	7873.16	9346.33	2486.95	1209.9	7704.56	8628.29	1603.04	1363.98
O00115;O00115-2	O00115;O00115-2	DNS2A_HUMAN	DNASE2	Deoxyribonuclease-2-alpha								1602.19										1656.64	4193.77	4769.11		
O00116	O00116	ADAS_HUMAN	AGPS	Alkyldihydroxyacetonephosphate synthase, peroxisomal	13643.7	18358.1	8597.08	9630.55	9948.5	11846.2	10690	10999.4	13241	16075	14048.1	15940.6	9265.35	9270.23	7549.82	10191.4	9731.4	9867.87	5851.76	11604.5	9835.25	9620.36
O00139;O00139-1;O00139-2;O00139-4;O00139-5	O00139;O00139-1;O00139-2;O00139-4;O00139-5	KIF2A_HUMAN	KIF2A	Kinesin-like protein KIF2A	10811.4	10129.5	11948.6	11728.6	13054.7	12141.1	22670.3	34755.2	9507.18	9153.08	12703	11961.9	12759.5	12354.1	22273.5	33634.5	11927.2	15028.6	38460.4	33249.6	10707.8	13220
O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	O00142;O00142-2;O00142-3;O00142-4;O00142-5;O00142-6	KITM_HUMAN	TK2	Thymidine kinase 2, mitochondrial	7365.03	6698.52	5902.61	6998.51	4722.91	6036.45	8591.95	6595.7	6453.08	5634.11	7075.64	6498.54	4350.45	5081.35	7200.47	5347.84	5122.04	4341.87	3061.35	5715.88	7504.57	5298.69
O00148	O00148;O00148-2;O00148-3	DX39A_HUMAN	DDX39A	ATP-dependent RNA helicase DDX39A	5720.59	6283.76	4183.18	3325.68	4538.68	6257.95	9062.01	11669.9	5746.33	6833.68	5527.52	6625.63	5304.63	6904.26	9265.04	12249.3	8430.45	4625.37	8990.38	8147.11	6564.93	4134.83
O00151	O00151	PDLI1_HUMAN	PDLIM1	PDZ and LIM domain protein 1	4455.49	8055.82	4684.81	5630	4359.24	4360.95			4944.45	6659.63	5269.31	5168.3	6733.48	4359.78			1668.85	2268.39			4544.56	2332.54
O00154;O00154-4;O00154-6;O00154-7	O00154;O00154-4;O00154-2;O00154-3;O00154-5;O00154-6;O00154-7	BACH_HUMAN	ACOT7	Cytosolic acyl coenzyme A thioester hydrolase	7849.09	8033.14	7613.95	9602.87	4748.26	5883.13	21333	21765.8	8365.09	8133.88	5674.18	7140.29	8759.24	5777.18	20404.2	26605.5		5652.04	25198.4	20118.3	7181.81	6981.23
O00159;O00159-3	O00159;O00159-3;O00159-2	MYO1C_HUMAN	MYO1C	Unconventional myosin-Ic	9885.43	11527.4	8949.57	9262.79	8965.05	12379	5060.9	3370.52	6364.05	7918.47	6282.1	8266.95	9564.24	8223.52	3434.12	3980.42	9549.54	9074.65	4317.47	4362.85	9833.67	10205.9
O00165;O00165-2	O00165;O00165-2;O00165-3;O00165-5	HAX1_HUMAN	HAX1	HCLS1-associated protein X-1	10141.4	11556.1	9209.81	9743.04	12813.5	10481.7	5455.61	5214.17	10735.4	13075.5	12567.3	12128.9	12457.6	15764.5	3493.16	5433.55	7739.84	7415.15	2997.79	5271.26	12061.1	8204.1
O00170	O00170	AIP_HUMAN	AIP	AH receptor-interacting protein	6417.75	6852.11	7170.92	7204.56	7187.92	5908.94	15538.9	14568.5	7112.05	7224.6	9744.53	8823.99	8091.11	7080.03	17171	19213.3	3713.7	3418.39	13090.3	9886.76	6622.99	5813.27
O00178	O00178	GTPB1_HUMAN	GTPBP1	GTP-binding protein 1	5705.22	4419.73	5347.69	5479.36	6298.02	5562.92	9419.94	14365.1	5671.68	5026.78	6415.71	6008.5	5117.68	5042.04	10112.6	12349.5	6137.41	7203.45	13893.4	12991.3	7230.91	7652.21
O00186	O00186	STXB3_HUMAN	STXBP3	Syntaxin-binding protein 3	11540.7	11182.1	10946.7	9864.43	10408.6	11023.9	4819.62	4064.74	11401.8	11239.5	8600.92	10141	8043.25	9492.71	3421.17	4230.87	9198.31	9101.61	5111.64	5221.34	10860.1	9254.23
O00189	O00189	AP4M1_HUMAN	AP4M1	AP-4 complex subunit mu-1			2903.45	3192.97	3233.62	2375.45		1548.91	3216.57	2938.76	3189.22		5216.87	3403.97		2260.76	1744.06	2642.05	1218.73	1135.34	2681.17	3616.35
